system:index,ID,date,month,system:band_names,system:bands,system:time_start,timeFormat,year,.geo
13,1980-02-01T00:00:00,1980-02-01T00:00:00,2.0,[total_precipitation],<Element>,318211200000,1980-02-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
14,1980-03-01T00:00:00,1980-03-01T00:00:00,3.0,[total_precipitation],<Element>,320716800000,1980-03-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
15,1980-04-01T00:00:00,1980-04-01T00:00:00,4.0,[total_precipitation],<Element>,323395200000,1980-04-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
16,1980-05-01T00:00:00,1980-05-01T00:00:00,5.0,[total_precipitation],<Element>,325987200000,1980-05-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
17,1980-06-01T00:00:00,1980-06-01T00:00:00,6.0,[total_precipitation],<Element>,328665600000,1980-06-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
18,1980-07-01T00:00:00,1980-07-01T00:00:00,7.0,[total_precipitation],<Element>,331257600000,1980-07-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
19,1980-08-01T00:00:00,1980-08-01T00:00:00,8.0,[total_precipitation],<Element>,333936000000,1980-08-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
20,1980-09-01T00:00:00,1980-09-01T00:00:00,9.0,[total_precipitation],<Element>,336614400000,1980-09-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
21,1980-10-01T00:00:00,1980-10-01T00:00:00,10.0,[total_precipitation],<Element>,339206400000,1980-10-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
22,1980-11-01T00:00:00,1980-11-01T00:00:00,11.0,[total_precipitation],<Element>,341884800000,1980-11-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
23,1980-12-01T00:00:00,1980-12-01T00:00:00,12.0,[total_precipitation],<Element>,344476800000,1980-12-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
24,1981-01-01T00:00:00,1981-01-01T00:00:00,1.0,[total_precipitation],<Element>,347155200000,1981-01-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
25,1981-02-01T00:00:00,1981-02-01T00:00:00,2.0,[total_precipitation],<Element>,349833600000,1981-02-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
26,1981-03-01T00:00:00,1981-03-01T00:00:00,3.0,[total_precipitation],<Element>,352252800000,1981-03-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
27,1981-04-01T00:00:00,1981-04-01T00:00:00,4.0,[total_precipitation],<Element>,354931200000,1981-04-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
28,1981-05-01T00:00:00,1981-05-01T00:00:00,5.0,[total_precipitation],<Element>,357523200000,1981-05-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
29,1981-06-01T00:00:00,1981-06-01T00:00:00,6.0,[total_precipitation],<Element>,360201600000,1981-06-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
30,1981-07-01T00:00:00,1981-07-01T00:00:00,7.0,[total_precipitation],<Element>,362793600000,1981-07-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
31,1981-08-01T00:00:00,1981-08-01T00:00:00,8.0,[total_precipitation],<Element>,365472000000,1981-08-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
32,1981-09-01T00:00:00,1981-09-01T00:00:00,9.0,[total_precipitation],<Element>,368150400000,1981-09-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
33,1981-10-01T00:00:00,1981-10-01T00:00:00,10.0,[total_precipitation],<Element>,370742400000,1981-10-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
34,1981-11-01T00:00:00,1981-11-01T00:00:00,11.0,[total_precipitation],<Element>,373420800000,1981-11-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
35,1981-12-01T00:00:00,1981-12-01T00:00:00,12.0,[total_precipitation],<Element>,376012800000,1981-12-01T00:00,1981.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
36,1982-01-01T00:00:00,1982-01-01T00:00:00,1.0,[total_precipitation],<Element>,378691200000,1982-01-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
37,1982-02-01T00:00:00,1982-02-01T00:00:00,2.0,[total_precipitation],<Element>,381369600000,1982-02-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
38,1982-03-01T00:00:00,1982-03-01T00:00:00,3.0,[total_precipitation],<Element>,383788800000,1982-03-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
39,1982-04-01T00:00:00,1982-04-01T00:00:00,4.0,[total_precipitation],<Element>,386467200000,1982-04-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
40,1982-05-01T00:00:00,1982-05-01T00:00:00,5.0,[total_precipitation],<Element>,389059200000,1982-05-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
41,1982-06-01T00:00:00,1982-06-01T00:00:00,6.0,[total_precipitation],<Element>,391737600000,1982-06-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
42,1982-07-01T00:00:00,1982-07-01T00:00:00,7.0,[total_precipitation],<Element>,394329600000,1982-07-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
43,1982-08-01T00:00:00,1982-08-01T00:00:00,8.0,[total_precipitation],<Element>,397008000000,1982-08-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
44,1982-09-01T00:00:00,1982-09-01T00:00:00,9.0,[total_precipitation],<Element>,399686400000,1982-09-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
45,1982-10-01T00:00:00,1982-10-01T00:00:00,10.0,[total_precipitation],<Element>,402278400000,1982-10-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
46,1982-11-01T00:00:00,1982-11-01T00:00:00,11.0,[total_precipitation],<Element>,404956800000,1982-11-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
47,1982-12-01T00:00:00,1982-12-01T00:00:00,12.0,[total_precipitation],<Element>,407548800000,1982-12-01T00:00,1982.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
48,1983-01-01T00:00:00,1983-01-01T00:00:00,1.0,[total_precipitation],<Element>,410227200000,1983-01-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
49,1983-02-01T00:00:00,1983-02-01T00:00:00,2.0,[total_precipitation],<Element>,412905600000,1983-02-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
50,1983-03-01T00:00:00,1983-03-01T00:00:00,3.0,[total_precipitation],<Element>,415324800000,1983-03-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
51,1983-04-01T00:00:00,1983-04-01T00:00:00,4.0,[total_precipitation],<Element>,418003200000,1983-04-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
52,1983-05-01T00:00:00,1983-05-01T00:00:00,5.0,[total_precipitation],<Element>,420595200000,1983-05-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
53,1983-06-01T00:00:00,1983-06-01T00:00:00,6.0,[total_precipitation],<Element>,423273600000,1983-06-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
54,1983-07-01T00:00:00,1983-07-01T00:00:00,7.0,[total_precipitation],<Element>,425865600000,1983-07-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
55,1983-08-01T00:00:00,1983-08-01T00:00:00,8.0,[total_precipitation],<Element>,428544000000,1983-08-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
56,1983-09-01T00:00:00,1983-09-01T00:00:00,9.0,[total_precipitation],<Element>,431222400000,1983-09-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
57,1983-10-01T00:00:00,1983-10-01T00:00:00,10.0,[total_precipitation],<Element>,433814400000,1983-10-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
58,1983-11-01T00:00:00,1983-11-01T00:00:00,11.0,[total_precipitation],<Element>,436492800000,1983-11-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
59,1983-12-01T00:00:00,1983-12-01T00:00:00,12.0,[total_precipitation],<Element>,439084800000,1983-12-01T00:00,1983.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
60,1984-01-01T00:00:00,1984-01-01T00:00:00,1.0,[total_precipitation],<Element>,441763200000,1984-01-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
61,1984-02-01T00:00:00,1984-02-01T00:00:00,2.0,[total_precipitation],<Element>,444441600000,1984-02-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
62,1984-03-01T00:00:00,1984-03-01T00:00:00,3.0,[total_precipitation],<Element>,446947200000,1984-03-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
63,1984-04-01T00:00:00,1984-04-01T00:00:00,4.0,[total_precipitation],<Element>,449625600000,1984-04-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
64,1984-05-01T00:00:00,1984-05-01T00:00:00,5.0,[total_precipitation],<Element>,452217600000,1984-05-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
65,1984-06-01T00:00:00,1984-06-01T00:00:00,6.0,[total_precipitation],<Element>,454896000000,1984-06-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
66,1984-07-01T00:00:00,1984-07-01T00:00:00,7.0,[total_precipitation],<Element>,457488000000,1984-07-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
67,1984-08-01T00:00:00,1984-08-01T00:00:00,8.0,[total_precipitation],<Element>,460166400000,1984-08-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
68,1984-09-01T00:00:00,1984-09-01T00:00:00,9.0,[total_precipitation],<Element>,462844800000,1984-09-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
69,1984-10-01T00:00:00,1984-10-01T00:00:00,10.0,[total_precipitation],<Element>,465436800000,1984-10-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
70,1984-11-01T00:00:00,1984-11-01T00:00:00,11.0,[total_precipitation],<Element>,468115200000,1984-11-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
71,1984-12-01T00:00:00,1984-12-01T00:00:00,12.0,[total_precipitation],<Element>,470707200000,1984-12-01T00:00,1984.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
72,1985-01-01T00:00:00,1985-01-01T00:00:00,1.0,[total_precipitation],<Element>,473385600000,1985-01-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
73,1985-02-01T00:00:00,1985-02-01T00:00:00,2.0,[total_precipitation],<Element>,476064000000,1985-02-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
74,1985-03-01T00:00:00,1985-03-01T00:00:00,3.0,[total_precipitation],<Element>,478483200000,1985-03-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
75,1985-04-01T00:00:00,1985-04-01T00:00:00,4.0,[total_precipitation],<Element>,481161600000,1985-04-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
76,1985-05-01T00:00:00,1985-05-01T00:00:00,5.0,[total_precipitation],<Element>,483753600000,1985-05-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
77,1985-06-01T00:00:00,1985-06-01T00:00:00,6.0,[total_precipitation],<Element>,486432000000,1985-06-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
78,1985-07-01T00:00:00,1985-07-01T00:00:00,7.0,[total_precipitation],<Element>,489024000000,1985-07-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
79,1985-08-01T00:00:00,1985-08-01T00:00:00,8.0,[total_precipitation],<Element>,491702400000,1985-08-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
80,1985-09-01T00:00:00,1985-09-01T00:00:00,9.0,[total_precipitation],<Element>,494380800000,1985-09-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
81,1985-10-01T00:00:00,1985-10-01T00:00:00,10.0,[total_precipitation],<Element>,496972800000,1985-10-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
82,1985-11-01T00:00:00,1985-11-01T00:00:00,11.0,[total_precipitation],<Element>,499651200000,1985-11-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
83,1985-12-01T00:00:00,1985-12-01T00:00:00,12.0,[total_precipitation],<Element>,502243200000,1985-12-01T00:00,1985.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
84,1986-01-01T00:00:00,1986-01-01T00:00:00,1.0,[total_precipitation],<Element>,504921600000,1986-01-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
85,1986-02-01T00:00:00,1986-02-01T00:00:00,2.0,[total_precipitation],<Element>,507600000000,1986-02-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
86,1986-03-01T00:00:00,1986-03-01T00:00:00,3.0,[total_precipitation],<Element>,510019200000,1986-03-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
87,1986-04-01T00:00:00,1986-04-01T00:00:00,4.0,[total_precipitation],<Element>,512697600000,1986-04-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
88,1986-05-01T00:00:00,1986-05-01T00:00:00,5.0,[total_precipitation],<Element>,515289600000,1986-05-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
89,1986-06-01T00:00:00,1986-06-01T00:00:00,6.0,[total_precipitation],<Element>,517968000000,1986-06-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
90,1986-07-01T00:00:00,1986-07-01T00:00:00,7.0,[total_precipitation],<Element>,520560000000,1986-07-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
91,1986-08-01T00:00:00,1986-08-01T00:00:00,8.0,[total_precipitation],<Element>,523238400000,1986-08-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
92,1986-09-01T00:00:00,1986-09-01T00:00:00,9.0,[total_precipitation],<Element>,525916800000,1986-09-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
93,1986-10-01T00:00:00,1986-10-01T00:00:00,10.0,[total_precipitation],<Element>,528508800000,1986-10-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
94,1986-11-01T00:00:00,1986-11-01T00:00:00,11.0,[total_precipitation],<Element>,531187200000,1986-11-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
95,1986-12-01T00:00:00,1986-12-01T00:00:00,12.0,[total_precipitation],<Element>,533779200000,1986-12-01T00:00,1986.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
